Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2020:Q4,Hispanic,2745909,3747036,1516781,366357,193500,599524,373037,236187,461650,1001127,689718,284751,26658
2020:Q4,Other,11488446,13657293,4034711,522492,3209795,1311512,1229335,1159240,2190207,2168847,1546669,552556,69622
2021:Q1,White,109253363,120826506,26706246,4815132,33373065,13904389,9960716,11734506,20332452,11573144,7899229,2723569,950346
2021:Q1,Black,5037778,6380293,1802659,421851,322518,1874224,865263,286139,807640,1342516,700053,613208,29255
2021:Q1,Hispanic,2846764,3844280,1572569,370141,210525,598479,372822,237899,481845,997516,688799,280088,28629
2021:Q1,Other,11949813,14148423,4189833,544256,3457390,1333509,1267916,1162961,2192557,2198610,1574721,550354,73535
2021:Q2,White,114704947,126757577,28438940,5049674,36031077,14035958,10431895,12406675,20363358,12052630,8215787,2869649,967194
2021:Q2,Black,5142768,6555763,1899885,464248,330880,1864921,891687,308370,795771,1412994,729810,653231,29953
2021:Q2,Hispanic,2972354,4009900,1679900,385385,229587,598951,381791,251899,482386,1037546,723611,284839,29096
2021:Q2,Other,12569528,14876573,4451099,590120,3741097,1359977,1337126,1201627,2195527,2307045,1652961,577465,76619
2021:Q3,White,117365217,129642973,29781328,5224863,36301655,14121170,10430431,13126512,20657015,12277756,8363463,2923153,991140
2021:Q3,Black,5174812,6610829,1977627,488459,321773,1845907,858685,331090,787287,1436016,743038,661223,31755
2021:Q3,Hispanic,3058235,4121673,1762159,396745,234749,598258,375133,267651,486978,1063438,745317,288197,29924
2021:Q3,Other,12894648,15262579,4660454,623550,3789315,1377741,1348218,1244358,2218943,2367931,1698370,587613,81948
2021:Q4,White,120566212,133096305,30367337,5412754,37653778,14275054,10805603,13583436,20998342,12530093,8524018,2988214,1017861
2021:Q4,Black,5196439,6657891,2009435,510710,319724,1832654,867405,342466,775497,1461453,754335,671808,35310
2021:Q4,Hispanic,3124479,4213130,1799940,409695,246426,600900,381106,274721,500343,1088651,768135,289782,30734
2021:Q4,Other,13200933,15638067,4726979,657949,3945867,1408214,1405770,1260810,2232478,2437134,1746460,598726,91948
2022:Q1,White,122058823,134753644,33180800,5615310,36110080,14054354,10331707,13979439,21481954,12694821,8654959,3013645,1026217
